experiment_name,backbone,rho_mode,ir_AP50,rgb_AP50,avg_AP50,ir_precision,ir_recall,rgb_precision,rgb_recall,train_loss,total_time_s,peak_gpu_gb
B2_swin_rho_beta_centered,swin_b2,beta_centered,86.86,82.95,84.91,38.9,94.3,28.7,87.3,0.3906,768.8,13.55
B2_swin_variant_2,swin_b2,beta_centered,90.25,86.54,86.4,35.3,95.7,23.2,88.5,0.38,770.0,13.55
